File name,Literal,Label,Code
cell=VT_1909_01_T-S0-A314,"Nes, Huizen",ameland,11153
cell=VT_1909_01_T-S0-A315,"Ballum, Huizen",ameland,11153
cell=VT_1909_01_T-S0-A316,"Hollum, Huizen",ameland,11153
cell=VT_1909_01_T-S0-A317,Totaal,ameland,11153
cell=VT_1909_01_T-S0-A318,AMERONGEN,amerongen,11372
cell=VT_1909_01_T-S0-A319,Wijk A. Huizen,amerongen,11372
cell=VT_1909_01_T-S0-A320,Wijk B. N.H. Tehuis voor ouden van dagen,amerongen,11372
cell=VT_1909_01_T-S0-A321,Wijk B. Overige huizen,amerongen,11372
cell=VT_1909_01_T-S0-A322,Wijk C. Erica,amerongen,11372
cell=VT_1909_01_T-S0-A323,Wijk C. Overige huizen,amerongen,11372
cell=VT_1909_01_T-S0-A324,Wijk D. Huizen,amerongen,11372
cell=VT_1909_01_T-S0-A325,Schepen,amerongen,11372
cell=VT_1909_01_T-S0-A326,Tijd. Aanw. schepen,amerongen,11372
cell=VT_1909_01_T-S0-A327,Totaal,amerongen,11372
cell=VT_1909_01_T-S0-A328,AMERSFOORT,amersfoort,10948
cell=VT_1909_01_T-S0-A329,Wijk A. Burgerweeshuis,amersfoort,10948
cell=VT_1909_01_T-S0-A330,Wijk A. Diaconie Oude Mannen en Vrouwenhuis,amersfoort,10948
cell=VT_1909_01_T-S0-A331,Wijk A. Overige huizen,amersfoort,10948
cell=VT_1909_01_T-S0-A332,Wijk B. R.K. Pensionaat,amersfoort,10948
cell=VT_1909_01_T-S0-A333,Wijk B. Mariagesticht,amersfoort,10948
cell=VT_1909_01_T-S0-A334,Wijk B. St. Elisabeth Ziekenhuis,amersfoort,10948
cell=VT_1909_01_T-S0-A335,Wijk B. Overige huizen,amersfoort,10948
cell=VT_1909_01_T-S0-A336,Wijk C. Huizen,amersfoort,10948
cell=VT_1909_01_T-S0-A337,Wijk D. Huizen,amersfoort,10948
cell=VT_1909_01_T-S0-A338,Wijk E. St. Peter en Bloklandgesticht,amersfoort,10948
cell=VT_1909_01_T-S0-A339,Wijk E. Overige huizen,amersfoort,10948
cell=VT_1909_01_T-S0-A340,Wijk F. Oud Roomsch Seminarium,amersfoort,10948
cell=VT_1909_01_T-S0-A341,AMERSFOORT (Vervolg),amersfoort,10948
cell=VT_1909_01_T-S0-A342,Wijk F. R.K. Jongens Weeshuis,amersfoort,10948
cell=VT_1909_01_T-S0-A343,Wijk F. St. Agatha Meisjes Weeshuis,amersfoort,10948
cell=VT_1909_01_T-S0-A344,Wijk F. St. Josephsgesticht,amersfoort,10948
cell=VT_1909_01_T-S0-A345,Wijk F. Overige huizen,amersfoort,10948
cell=VT_1909_01_T-S0-A346,Wijk G. Vereeniging Kinderzorg,amersfoort,10948
cell=VT_1909_01_T-S0-A347,Wijk G. Thomas Scheltusstichting,amersfoort,10948
cell=VT_1909_01_T-S0-A348,Wijk G. St. Jansgesticht,amersfoort,10948
cell=VT_1909_01_T-S0-A349,Wijk G. Mij. Zandbergen,amersfoort,10948
cell=VT_1909_01_T-S0-A350,Wijk G. Infanterie kazerne,amersfoort,10948
cell=VT_1909_01_T-S0-A351,Wijk G. Overige huizen,amersfoort,10948
