File name,Literal,Label,Code
cell=VT_1859_01_H1-S0-C428,buiten de kom. wijk a morschoef,BuitenKom
cell=VT_1859_01_H1-S0-C429,buiten de kom. wijk a craanmeer,BuitenKom
cell=VT_1859_01_H1-S0-C430,buiten de kom. wijk a looieind,BuitenKom
cell=VT_1859_01_H1-S0-C431,buiten de kom. wijk a veluur,BuitenKom
cell=VT_1859_01_H1-S0-C432,kom. wijk b schilt,BinnenKom
cell=VT_1859_01_H1-S0-C433,kom. wijk b brug,BinnenKom
cell=VT_1859_01_H1-S0-C434,kom. wijk b kerkstraat,BinnenKom
cell=VT_1859_01_H1-S0-C435,buiten de kom. wijk c keldonk,BuitenKom
cell=VT_1859_01_H1-S0-C436,buiten de kom. wijk c dieperstraat,BuitenKom
cell=VT_1859_01_H1-S0-C437,buiten de kom. wijk c laren,BuitenKom
cell=VT_1859_01_H1-S0-C438,buiten de kom. wijk d boerdonk,BuitenKom
cell=VT_1859_01_H1-S0-C439,buiten de kom. wijk d hurksche,BuitenKom
cell=VT_1859_01_H1-S0-C440,buiten de kom. wijk d heuvelberg,BuitenKom
cell=VT_1859_01_H1-S0-C441,buiten de kom. wijk d hoek,BuitenKom
cell=VT_1859_01_H1-S0-C445,kom. wijk a,BinnenKom
cell=VT_1859_01_H1-S0-C446,buiten de kom. wijk a,BuitenKom
cell=VT_1859_01_H1-S0-C448,buiten de kom. langenboom,BuitenKom
cell=VT_1859_01_H1-S0-C449,buiten de kom. lagepeel,BuitenKom
cell=VT_1859_01_H1-S0-C450,buiten de kom. lageheide,BuitenKom
cell=VT_1859_01_H1-S0-C451,buiten de kom. de bolt,BuitenKom
cell=VT_1859_01_H1-S0-C452,buiten de kom. esteren,BuitenKom
cell=VT_1859_01_H1-S0-C454,kom. kerkenhoek,BinnenKom
cell=VT_1859_01_H1-S0-C456,kom. wijk a etten,BinnenKom
cell=VT_1859_01_H1-S0-C457,kom. wijk b leur,BinnenKom
cell=VT_1859_01_H1-S0-C458,kom. wijk b leur schepen,BinnenKom
cell=VT_1859_01_H1-S0-C460,buiten de kom. wijk c moleneind c.a.,BuitenKom
cell=VT_1859_01_H1-S0-C461,buiten de kom. wijk d klappenberg,BuitenKom
cell=VT_1859_01_H1-S0-C462,buiten de kom. wijk e hil en vaartkant,BuitenKom
cell=VT_1859_01_H1-S0-C463,buiten de kom. wijk f neerstraat c.a.,BuitenKom
cell=VT_1859_01_H1-S0-C464,buiten de kom. wijk g bremberg,BuitenKom
cell=VT_1859_01_H1-S0-C465,buiten de kom. wijk h attelaken,BuitenKom
